EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;57;48;49;;
Asdal skole;Arendal;48;47;48;;
Birkenlund skole;Arendal;50;49;48;;
Hisøy skole 1-10 Skoler;Arendal;54;54;54;;
Moltemyr skole;Arendal;49;47;45;;
Nedenes skole;Arendal;51;51;51;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;50;51;50;;
St. Franciskus skole;Arendal;49;49;48;;
Stiftelsen steinerskolen i Arendal;Arendal;46;51;46;;
Stinta skole barne- og Ungdomstrinnet;Arendal;50;49;49;;
Stuenes skole barne- og Ungdomstrinn;Arendal;48;46;48;;
Engesland skole;Birkenes;*;*;*;;
Valstrand skole;Birkenes;*;*;*;;
Bygland skule;Bygland;43;45;*;;
Bykle barne- og ungdomsskule;Bykle;57;58;58;;
Evje ungdomsskule;Evje og Hornnes;48;48;49;;
Farsund ungdomsskole;Farsund;55;47;54;;
Lista ungdomsskole;Farsund;48;47;47;;
Flekkefjord ungdomsskole;Flekkefjord;49;48;50;;
Froland ungdomsskole;Froland;49;49;49;;
Abel skole;Gjerstad;48;49;49;;
Drottningborg ungdomsskole AS;Grimstad;51;48;50;;
Fevik skole;Grimstad;49;47;48;;
Grimstad ungdomsskole;Grimstad;48;48;49;;
Holviga ungdomsskole;Grimstad;51;51;48;;
Iveland skole;Iveland;42;42;41;;
Finsland skole;Kristiansand;48;*;*;;
Fiskå skole;Kristiansand;48;45;46;;
Grim skole;Kristiansand;50;49;47;;
Haumyrheia skole;Kristiansand;52;49;50;;
Havlimyra skole;Kristiansand;50;48;49;;
Hellemyr skole Kompetanse;Kristiansand;;;;;
Holte skole;Kristiansand;49;50;53;;
Karuss skole;Kristiansand;49;45;46;;
Kristiansand Internasjonale skole;Kristiansand;51;*;*;;
Krossen skole - Kompetanse;Kristiansand;;;;;
Lindebøskauen skole;Kristiansand;48;50;50;;
Møvig skole;Kristiansand;50;47;48;;
Oasen skole Birkelid AS;Kristiansand;56;55;52;;
Oasen skole Strømme AS grunnskole;Kristiansand;49;43;48;;
Oasen skole Vågsbygd AS;Kristiansand;*;*;*;;
Oddemarka skole;Kristiansand;50;50;50;;
Samfundets skole Sentrum;Kristiansand;49;54;55;;
Songdalen skole;Kristiansand;47;46;44;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Tangvall skole;Kristiansand;50;49;49;;
Tinntjønn skole;Kristiansand;46;46;46;;
Torridal skole;Kristiansand;48;47;49;;
Ve skole;Kristiansand;52;49;49;;
Vigvoll skole;Kristiansand;50;47;49;;
Kvinesdal ungdomsskole;Kvinesdal;*;*;*;;
Kvinlog skule;Kvinesdal;*;*;*;;
Lillesand kommune - Høvåg skole;Lillesand;53;50;53;;
Lillesand kommune - Lillesand ungdomsskole;Lillesand;50;50;49;;
Blomdalen ungdomsskole;Lindesnes;48;49;49;;
Oasen skole Mandal AS;Lindesnes;45;44;45;;
Vassmyra ungdomsskole;Lindesnes;45;45;46;;
Vigeland ungdomsskole;Lindesnes;47;46;47;;
Øyslebø skole;Lindesnes;46;46;46;;
Byremo ungdomsskole;Lyngdal;*;*;*;;
Lyngdal ungdomsskole;Lyngdal;*;*;*;;
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;*;*;*;;
Risør ungdomsskole;Risør;51;47;47;;
Sinnes skule;Sirdal;*;*;*;;
Tonstad skule;Sirdal;*;*;*;;
Lyngmyr skole;Tvedestrand;50;49;50;;
Valle skule;Valle;49;51;49;;
Vegårshei skule;Vegårshei;49;47;51;;
Oasen skole Vennesla AS;Vennesla;*;*;*;;
Skarpengland skole;Vennesla;*;*;*;;
Vennesla ungdomsskole;Vennesla;*;*;*;;
Åmli skule;Åmli;48;52;54;;
Åseral barne- og ungdomsskule;Åseral;43;41;47;;
Alvdal ungdomsskole;Alvdal;45;48;47;;
Dovre ungdomsskole;Dovre;47;46;46;;
Eidskog ungdomsskole;Eidskog;48;45;45;;
Elverum ungdomsskole;Elverum;51;49;49;;
Engerdal barne- og ungdomsskole;Engerdal;48;51;48;;
Etnedal skule;Etnedal;*;*;*;;
Folldal skole;Folldal;46;45;49;;
Gausdal ungdomsskole;Gausdal;45;46;44;;
Biri ungdomsskole;Gjøvik;*;45;43;;
Bjørnsveen ungdomsskole;Gjøvik;51;52;51;;
Kopperud skole;Gjøvik;52;50;49;;
Snertingdal skole;Gjøvik;*;44;46;;
Steinerskolen Gjøvik-Toten;Gjøvik;*;41;43;;
Vardal ungdomsskole;Gjøvik;49;48;46;;
Bjoneroa skole;Gran;*;*;*;;
Brandbu ungdomsskole;Gran;50;48;46;;
Gran ungdomsskole;Gran;*;*;*;;
Grue barne- og ungdomsskole;Grue;47;47;46;;
Ajer ungdomsskole;Hamar;53;52;49;;
Børstad ungdomsskole;Hamar;53;50;49;;
Ener ungdomsskole;Hamar;50;51;49;;
Hamar Montessori skole Sti;Hamar;*;*;*;;
Wang Hamar AS;Hamar;*;*;*;;
Austmarka barne- og ungdomsskole;Kongsvinger;*;*;*;;
Kongsvinger montessoriskole SA;Kongsvinger;*;*;*;;
Kongsvinger ungdomsskole;Kongsvinger;*;*;*;;
Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS;Kongsvinger;*;*;*;;
Lesja skule;Lesja;*;*;*;;
Lesjaskog skule;Lesja;*;*;*;;
Engesvea barne- og ungdomsskole;Lillehammer;*;*;*;;
Hammartun skole;Lillehammer;53;47;49;;
Norges Toppidrettsgymnas ungdomsskole Lillehammer AS;Lillehammer;47;48;50;;
Smestad ungdomsskole;Lillehammer;50;50;50;;
Stiftelsen Lillehammer steinerskole;Lillehammer;*;*;*;;
Åretta ungdomsskole;Lillehammer;49;50;49;;
Lom ungdomsskule;Lom;51;52;52;;
Hedemarken friskole;Løten;51;52;*;;
Løten ungdomsskole;Løten;46;45;*;;
Nord-Aurdal ungdomsskole;Nord-Aurdal;*;50;*;;
Valdres montessoriskule SA;Nord-Aurdal;*;;*;;
Vinstra ungdomsskole;Nord-Fron;47;47;47;;
Nord-Odal ungdomsskole;Nord-Odal;47;48;46;;
Nordre Land kommune 0-24 Torpa barne- og ungdomsskole;Nordre Land;50;52;51;;
Nordre Land kommune Dokka barne- og ungdomsskole;Nordre Land;49;49;47;;
Os skole;Os;50;52;48;;
Fagertun skole;Rendalen;42;46;45;;
Ringebu ungdomsskole;Ringebu;45;47;46;;
Brumunddal ungdomsskole;Ringsaker;48;45;45;;
Brøttum barne- og ungdomsskole;Ringsaker;47;49;47;;
Furnes ungdomsskole;Ringsaker;47;47;45;;
Moelv ungdomsskole;Ringsaker;48;46;47;;
Nes ungdomsskole;Ringsaker;47;47;43;;
Heidal skule;Sel;48;51;47;;
Otta ungdomsskole;Sel;47;47;45;;
Skjåk barne- og ungdomsskule;Skjåk;45;46;46;;
Ottestad ungdomsskole;Stange;51;50;48;;
Romedal ungdomsskole;Stange;48;49;48;;
Stange ungdomsskole;Stange;51;50;48;;
Steinerskolen på Hedemarken avd grunnskolen Ottestad;Stange;43;43;45;;
Stor-Elvdal ungdomsskole;Stor-Elvdal;49;52;56;;
Søndre Land ungdomsskole;Søndre Land;48;48;45;;
Hedalen barne- og ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Aurdal ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Fron ungdomsskule;Sør-Fron;47;46;45;;
Glommasvingen skole;Sør-Odal;49;48;47;;
Tolga skole;Tolga;48;52;51;;
Trysil ungdomsskole;Trysil;49;48;49;;
Kvikne skole;Tynset;*;*;*;;
Tynset ungdomsskole;Tynset;*;*;*;;
Vang barne- og ungdomsskule;Vang;47;47;46;;
Vestre Slidre skule;Vestre Slidre;51;51;48;;
Vestre Toten ungdomsskole;Vestre Toten;49;49;48;;
Vågå ungdomsskule;Vågå;49;50;47;;
Våler barne- og ungdomsskole;Våler (Innlandet);46;48;44;;
Lena ungdomsskole;Østre Toten;50;50;50;;
Skreia ungdomsskole;Østre Toten;49;49;48;;
Øyer ungdomsskole;Øyer;50;48;46;;
Øystre Slidre ungdomsskule;Øystre Slidre;47;48;47;;
Åmot Barne og ungdomsskole;Åmot;47;45;45;;
Åsnes ungdomsskole;Åsnes;49;48;48;;
Gossen barne- og ungdomsskole avd skole;Aukra;49;48;47;;
Julsundet skole;Aukra;48;49;46;;
Aure barne- og ungdomsskole;Aure;*;*;*;;
Tustna barne- og ungdomsskole;Aure;*;*;*;;
Averøy ungdomsskole;Averøy;47;45;48;;
Eidsdal skule;Fjord;*;*;*;;
Stordal skule;Fjord;*;*;*;;
Valldal skule;Fjord;56;56;50;;
Giske ungdomsskule;Giske;52;49;49;;
Batnfjord skule;Gjemnes;53;51;50;;
Hareid ungdomsskule;Hareid;49;47;49;;
Herøy ungdomsskule;Herøy (Møre og Romsdal);51;*;49;;
Møre barne- og ungdomsskule;Herøy (Møre og Romsdal);49;46;48;;
Stokksund barne- og ungdomsskule;Herøy (Møre og Romsdal);51;*;49;;
Bud skule;Hustadvika;*;*;*;;
Eide ungdomsskole;Hustadvika;49;48;48;;
Fræna ungdomsskule;Hustadvika;50;47;50;;
Hustad skole;Hustadvika;*;*;*;;
Atlanten ungdomsskole;Kristiansund;51;48;47;;
Frei ungdomsskole;Kristiansund;51;49;49;;
Nordlandet ungdomsskole;Kristiansund;49;47;48;;
Bekkevoll ungdomsskole;Molde;50;50;50;;
Bergmo ungdomsskole;Molde;50;49;49;;
Eidsvåg barne- og ungdomsskole;Molde;48;50;47;;
Eresfjord barne- og ungdomsskule;Molde;*;*;*;;
Midsund skule;Molde;50;51;51;;
Molde friskole;Molde;*;*;*;;
Sekken oppvekstsenter skole;Molde;*;*;*;;
Skjevik barne- og ungdomsskole;Molde;50;46;46;;
Tøndergård skole og ressurssenter;Molde;*;*;*;;
Vågsetra barne- og ungdomsskole;Molde;50;49;48;;
Måndalen barne- og ungdomsskule;Rauma;50;48;51;;
Åfarnes barne- og ungdomsskole;Rauma;54;49;52;;
Åndalsnes ungdomsskole;Rauma;49;48;53;;
Gursken oppvekstsenter avd skule;Sande;*;*;*;;
Kvamsøy barne- og ungdomsskule;Sande;*;*;*;;
Smøla ungdomsskole;Smøla;49;48;49;;
Geiranger skule;Stranda;*;*;*;;
Stranda ungdomsskule;Stranda;55;52;55;;
Sunnylven skule;Stranda;*;*;*;;
Sula ungdomsskule;Sula;49;46;49;;
Sunndal ungdomsskole;Sunndal;50;49;49;;
Surnadal barne- og ungdomsskule;Surnadal;48;46;47;;
Sykkylven ungdomsskule;Sykkylven;49;45;49;;
Straumsnes barne- og ungdomsskole;Tingvoll;39;42;41;;
Tingvoll barne- og ungdomsskole;Tingvoll;49;45;46;;
Ulstein ungdomsskule;Ulstein;49;48;47;;
Myklebust skule;Vanylven;47;48;44;;
Åheim skule;Vanylven;49;46;50;;
Helland ungdomsskule;Vestnes;47;43;46;;
Tomrefjord skule;Vestnes;52;47;51;;
Dalsfjord skule;Volda;*;*;*;;
Folkestad skule;Volda;*;*;*;;
Hornindal skule;Volda;53;53;52;;
Volda ungdomsskule;Volda;48;47;49;;
Sæbø skule;Ørsta;*;*;*;;
Vartdal skule;Ørsta;*;*;*;;
Ørsta ungdomsskule;Ørsta;49;48;49;;
Ålesund;Ålesund (2020 - 2023);49;47;48;;
Blindheim ungdomsskole;Ålesund (2020 - 2023);46;46;47;;
Brattvåg ungdomsskule;Ålesund (2020 - 2023);46;46;46;;
Ellingsøy barne- og ungdomsskole;Ålesund (2020 - 2023);49;47;48;;
Haramsøy barne- og ungdomsskule;Ålesund (2020 - 2023);52;46;50;;
Harøy skule;Ålesund (2020 - 2023);50;50;48;;
Hildre montessoriskule SA;Ålesund (2020 - 2023);*;*;*;;
Kolvikbakken ungdomsskole;Ålesund (2020 - 2023);52;49;51;;
Møre barne- og ungdomsskule Skodje AS;Ålesund (2020 - 2023);44;45;46;;
Skarbøvik ungdomsskole;Ålesund (2020 - 2023);45;41;43;;
Skodje barne- og ungdomsskole avd ungdomsskole;Ålesund (2020 - 2023);51;48;45;;
Spjelkavik ungdomsskole;Ålesund (2020 - 2023);49;47;48;;
Steinerskolen Ålesund;Ålesund (2020 - 2023);*;*;*;;
Stiftelsen Møre barne- og Ungdomsskule, Ålesund;Ålesund (2020 - 2023);50;50;52;;
Vatne ungdomsskule;Ålesund (2020 - 2023);49;47;46;;
Ørskog skule;Ålesund (2020 - 2023);48;44;46;;
Aalesund International School Sti;Ålesund (2020 - 2023);60;57;54;;
Sandnessjøen ungdomsskole;Alstahaug;49;48;47;;
Søvik oppvekstsenter avd skole;Alstahaug;*;*;*;;
Tjøtta oppvekstsenter avd skole;Alstahaug;*;*;*;;
Andenes skole;Andøy;*;51;48;;
Risøyhamn skole;Andøy;*;45;44;;
Beiarn barne- og ungdomsskole;Beiarn;*;*;*;;
Bindalseidet skole SA;Bindal;*;*;*;;
Terråk skole;Bindal;*;*;*;;
Alberthaugen skole;Bodø;*;*;*;;
Alstad ungdomsskole;Bodø;53;50;48;;
Bankgata ungdomsskole;Bodø;49;47;49;;
Bodøsjøen skole;Bodø;54;50;47;;
Hunstad ungdomsskole;Bodø;50;50;49;;
Kjerringøy oppvekstsenter avd skole;Bodø;*;*;*;;
Løpsmark skole;Bodø;53;48;54;;
Misvær oppvekstsenter avd skole;Bodø;*;*;*;;
Norges Toppidrettsgymnas ungdomsskole Bodø AS;Bodø;*;*;*;;
Rønvik skole;Bodø;53;50;49;;
Saltstraumen skole;Bodø;*;*;*;;
Saltvern skole;Bodø;52;50;50;;
Skolen i Væran avd skole;Bodø;*;*;*;;
St Eysteins skole;Bodø;*;*;*;;
Tverlandet skole;Bodø;49;50;48;;
Brønnøysund barneskole;Brønnøy;50;49;51;;
Brønnøysund ungdomsskole;Brønnøy;*;*;*;;
Hilstad Barne-Og ungdomsskole;Brønnøy;*;*;*;;
Bø ungdomsskole;Bø;49;44;43;;
Dønna barne- og ungdomsskole;Dønna;*;*;*;;
Løkta oppvekstsenter avd skole;Dønna;*;*;*;;
Evenes skole;Evenes - Evenášši;51;52;52;;
Sulitjelma skole;Fauske - Fuossko;*;*;*;;
Valnesfjord skole;Fauske - Fuossko;*;*;*;;
Vestmyra skole;Fauske - Fuossko;49;47;46;;
Flakstad barne- og ungdomsskole;Flakstad;*;*;*;;
Vikten skole;Flakstad;*;*;*;;
Inndyr skole avd skole;Gildeskål;*;*;*;;
Nygårdsjøen oppvekstsenter avd skole;Gildeskål;*;*;*;;
Sandhornøy skole;Gildeskål;*;*;*;;
Sørarnøy skole og barnehage avd skole;Gildeskål;*;*;*;;
Grane barne- og ungdomsskole;Grane;50;46;46;;
Drag skole;Hábmer - Hamarøy;*;*;45;;
Hamarøy montessoriskole;Hábmer - Hamarøy;*;*;*;;
Oppeid skole;Hábmer - Hamarøy;*;*;*;;
Melbu skole;Hadsel;56;54;54;;
Stokmarknes skole;Hadsel;52;50;50;;
Hemnes sentralskole;Hemnes;55;53;54;;
Korgen sentralskole;Hemnes;48;48;50;;
Herøy skole;Herøy (Nordland);51;45;49;;
Leirfjord barne- og ungdomsskole;Leirfjord;50;47;47;;
Konsvik oppvekstsenter avd skole;Lurøy;*;*;*;;
Kvarøy oppvekstsenter skole;Lurøy;*;*;*;;
Lovund skole;Lurøy;*;*;*;;
Onøy Lurøy oppvekstsenter avd skole;Lurøy;*;*;*;;
Sleneset oppvekstsenter skole;Lurøy;*;*;*;;
Lødingen skole;Lødingen;*;*;*;;
Vestbygd skole;Lødingen;*;*;*;;
Enga skole;Meløy;*;*;*;;
Glomfjord skole;Meløy;46;43;42;;
Meløy oppvekstsenter avd skole;Meløy;*;*;*;;
Neverdal Enspire skole AS;Meløy;*;*;*;;
Ørnes skole;Meløy;;47;47;;
Sørvågen skole;Moskenes;*;*;*;;
Ballangen skole;Narvik;*;*;47;;
Kjøpsvik skole;Narvik;*;*;*;;
Narvik ungdomsskole;Narvik;52;49;*;;
Skjomen skole;Narvik;*;*;*;;
Nesna skole avd Nesna;Nesna;57;51;55;;
Rana ungdomsskole;Rana - Raane;49;47;48;;
Storforshei barne- og ungdomsskole;Rana - Raane;*;*;*;;
Utskarpen barne- og ungdomsskole;Rana - Raane;*;*;*;;
Jektvik skole;Rødøy;*;*;*;;
Nesøy skole;Rødøy;*;*;*;;
Rødøy skole;Rødøy;*;*;*;;
Tjongsfjord skole;Rødøy;*;*;*;;
Øresvik skole;Rødøy;*;*;*;;
Røst barne- og ungdomsskole;Røst;*;*;*;;
Rognan ungdomsskole;Saltdal;50;49;48;;
Røkland skole grunnskolen;Saltdal;46;50;47;;
Sortland ungdomsskole;Sortland - Suortá;48;47;46;;
Steigenskolen Leinesfjord;Steigen;46;46;45;;
Vik skole;Sømna;51;52;54;;
Nordsia oppvekstsenter skole;Sørfold - Fuolldá;*;*;*;;
Straumen skole;Sørfold - Fuolldá;*;*;*;;
Granmoen skole;Vefsn;53;52;50;;
Kippermoen ungdomsskole;Vefsn;48;47;46;;
Vega barne- og ungdomsskole;Vega;50;47;47;;
Ballstad skole;Vestvågøy;50;48;48;;
Bøstad skole;Vestvågøy;*;*;*;;
Leknes skole;Vestvågøy;47;46;47;;
Opdøl montessoriskole Barne og ungdomsskole;Vestvågøy;45;42;*;;
Svarholt skole;Vestvågøy;*;*;*;;
Vevelstad sentralskole;Vevelstad;*;*;*;;
Værøy skole;Værøy;*;;*;;
Digermulen skole;Vågan;*;*;*;;
Gimsøy skole;Vågan;*;*;*;;
Henningsvær skole;Vågan;*;*;*;;
Kabelvåg skole;Vågan;43;44;44;;
Laukvik skole;Vågan;*;*;*;;
Laupstad skole;Vågan;*;*;*;;
Skrova skole;Vågan;*;*;*;;
Strauman oppvekstsenter;Vågan;*;*;*;;
Svolvær skole;Vågan;48;50;48;;
Ørsnes privatskole;Vågan;*;*;*;;
Myre skole;Øksnes;49;48;50;;
Hattfjelldal oppvekstsenter avd skole;Aarborte - Hattfjelldal;50;47;47;;
Abildsø skole;Oslo;54;54;53;;
Akademiet realfagsskole Oslo AS;Oslo;60;58;54;;
Apalløkka skole;Oslo;51;48;47;;
Bjørnholt ungdomsskole;Oslo;49;46;44;;
Bjørnsletta skole;Oslo;56;55;55;;
Bjøråsen skole;Oslo;47;45;44;;
Brannfjell skole;Oslo;55;55;54;;
Bøler skole;Oslo;56;55;55;;
Den Tysk-Norske skolen i Oslo Avd grunnskole Sporveisgata;Oslo;60;56;58;;
Ellingsrud skole;Oslo;50;46;45;;
Engebråten skole;Oslo;56;56;56;;
Fagerborg skole;Oslo;55;56;51;;
Frydenberg skole;Oslo;51;49;50;;
Fyrstikkalleen skole;Oslo;53;51;51;;
Granstangen skole;Oslo;48;44;44;;
Groruddalen skole;Oslo;49;45;44;;
Haugenstua skole;Oslo;49;46;46;;
Haugerud skole;Oslo;50;46;47;;
Hauketo skole;Oslo;52;50;50;;
Haukåsen skole;Oslo;;;;;
Holmlia skole;Oslo;50;48;48;;
Hovseter skole;Oslo;55;55;55;;
Høyenhall skole;Oslo;53;50;50;;
Jordal skole;Oslo;52;50;48;;
Karlsrud skole;Oslo;54;52;50;;
Kastellet skole;Oslo;52;53;52;;
Kristelig gymnasium AS grunnskole;Oslo;56;55;55;;
Lambertseter skole;Oslo;52;51;50;;
Lindeberg skole;Oslo;51;48;50;;
Linderud skole;Oslo;49;44;44;;
Ljabruskolen - steinerskole for Elever Med Spesielle Behov Sti;Oslo;;;;;
Lofsrud skole;Oslo;47;45;47;;
Lycee Francais Rene Cassin Doslo;Oslo;57;48;52;;
Lønnebakken skole;Oslo;*;;;;
Majorstuen skole;Oslo;55;54;53;;
Manglerud skole;Oslo;51;50;51;;
Marienlyst skole;Oslo;58;57;56;;
Midtstuen skole;Oslo;58;56;58;;
Morellbakken skole;Oslo;56;55;54;;
Nordberg skole;Oslo;55;56;57;;
Nordpolen skole;Oslo;55;51;50;;
Nordseter skole;Oslo;55;55;53;;
Nordstrand ungdomsskole;Oslo;54;54;55;;
Norlights International School Oslo AS;Oslo;62;46;49;;
Nyskolen i Oslo grunnskole;Oslo;*;*;*;;
Oppsal skole;Oslo;53;51;51;;
Oslo kommune Språksenteret;Oslo;*;;;;
Oslo montessoriskole;Oslo;57;59;55;;
Ris skole;Oslo;56;56;57;;
Rommen skole;Oslo;49;43;45;;
Rudolf steinerskolen i Oslo Sti;Oslo;49;50;44;;
Ruseløkka skole;Oslo;56;55;54;;
Ryenberget skole;Oslo;49;50;48;;
Sagene skole;Oslo;52;49;48;;
Skullerud skole;Oslo;51;48;48;;
Skøyenåsen skole;Oslo;54;55;54;;
Sofienberg skole;Oslo;52;48;48;;
St Sunniva skole avd Undervisning;Oslo;57;52;53;;
Stasjonsfjellet skole;Oslo;53;51;53;;
Steinerskolen på Nordstrand;Oslo;51;50;48;;
Stiftelsen montessoriskolen Lyse;Oslo;*;*;*;;
Teglverket skole;Oslo;53;49;48;;
Tokerud skole;Oslo;48;44;46;;
Ullevålsveien skole;Oslo;;;;;
Uranienborg skole;Oslo;55;54;54;;
Veitvet skole;Oslo;50;46;45;;
Vestre Aker skole;Oslo;;*;;;
Vetland skole grunnskole;Oslo;*;*;*;;
Voksentoppen skole;Oslo;;;*;;
Voldsløkka skole;Oslo;55;54;53;;
Vollebekk skole;Oslo;53;52;51;;
Wang Ung Oslo AS;Oslo;53;57;57;;
Øraker skole;Oslo;54;53;54;;
Østmarka skole;Oslo;53;51;52;;
Årvoll skole;Oslo;53;53;51;;
Vikeså skule;Bjerkreim;48;48;50;;
Bokn skule;Bokn;46;41;40;;
Gamleveien skole;Eigersund;*;*;*;;
Hellvik skole;Eigersund;*;*;*;;
Husabø ungdomsskole;Eigersund;*;*;*;;
Lagård ungdomsskole;Eigersund;49;46;48;;
Samfundets skole Egersund;Eigersund;*;*;*;;
Dirdal skole;Gjesdal;49;50;46;;
Gjesdal ungdomsskole;Gjesdal;*;*;*;;
Kongstun Kristne friskole;Gjesdal;*;*;*;;
Oltedal skole;Gjesdal;*;*;*;;
Danielsen ungdomsskole Haugalandet AS;Haugesund;48;49;47;;
Haraldsvang skole;Haugesund;51;49;49;;
Hauge skole;Haugesund;*;*;*;;
Haugesund Toppidrettsgymnas AS;Haugesund;51;52;52;;
Håvåsen skole;Haugesund;51;48;48;;
Røvær skole;Haugesund;*;*;*;;
Skåredalen skole;Haugesund;54;50;52;;
Steinerskolen i Haugesund;Haugesund;48;44;44;;
Hjelmeland skule;Hjelmeland;51;49;50;;
Nærbø ungdomsskule;Hå;49;46;47;;
Ogna skule;Hå;47;46;48;;
Tryggheim ungdomsskule;Hå;47;47;50;;
Varhaug ungdomsskule;Hå;50;49;53;;
Vigrestad storskule;Hå;48;43;46;;
Bø ungdomsskole;Karmøy;48;45;46;;
Danielsen ungdomsskole Karmøy AS;Karmøy;48;49;48;;
Haugesund International School Sti;Karmøy;53;48;53;;
Skudenes ungdomsskole;Karmøy;50;46;48;;
Stangeland ungdomsskole;Karmøy;51;46;47;;
Vormedal ungdomsskole;Karmøy;50;47;47;;
Åkra ungdomsskole;Karmøy;48;45;44;;
Bore ungdomsskule;Klepp;53;49;51;;
Klepp ungdomsskule;Klepp;47;45;49;;
Orstad skule;Klepp;53;50;53;;
Kvitsøy skole;Kvitsøy;*;*;*;;
Lund ungdomsskole;Lund;47;46;48;;
Goa skole;Randaberg;50;50;50;;
Grødem skole;Randaberg;54;49;51;;
Harestad skole;Randaberg;50;50;51;;
Bogafjell ungdomsskole;Sandnes;51;49;50;;
Figgjo skole;Sandnes;50;48;50;;
Forsand skule;Sandnes;49;*;*;;
Forus friskole - Bus;Sandnes;52;50;49;;
Giske ungdomsskole;Sandnes;52;49;50;;
Høle barne- og ungdomsskule;Sandnes;53;*;*;;
Høyland ungdomsskole;Sandnes;52;50;51;;
Lundehaugen ungdomsskole;Sandnes;50;48;50;;
Lurahammaren ungdomsskole;Sandnes;52;48;47;;
Riska ungdomsskole;Sandnes;51;50;49;;
Sandnes friskole AS;Sandnes;49;49;53;;
Sandnes International School AS;Sandnes;*;*;*;;
Skeiane ungdomsskole;Sandnes;51;50;50;;
Vatneli skole;Sandnes;*;*;*;;
Wang Ung Sandnes AS;Sandnes;50;51;52;;
Øygard ungdomsskole;Sandnes;51;47;48;;
Sauda ungdomsskule;Sauda;51;50;49;;
Sokndal skole;Sokndal;52;52;49;;
Dysjaland skule;Sola;50;46;47;;
Kjerrberget ungdomsskole;Sola;53;49;50;;
Sola ungdomsskole;Sola;53;51;51;;
Tananger ungdomsskole;Sola;49;48;46;;
Auglend skole;Stavanger;*;*;*;;
Austbø skole;Stavanger;50;47;46;;
Biss Gausel Sti;Stavanger;61;47;52;;
Biss Sentrum AS;Stavanger;63;48;55;;
Finnøy skule;Stavanger;50;*;*;;
Gautesete skole;Stavanger;52;49;50;;
Gosen skole;Stavanger;52;50;49;;
Hinna skole;Stavanger;52;50;49;;
Johannes læringssenter Flerspråklige Barn;Stavanger;*;;;;
Kannik skole;Stavanger;54;50;51;;
Kristen friskole AS;Stavanger;*;*;*;;
Kristianslyst skole;Stavanger;52;50;52;;
Lunde skole;Stavanger;51;47;45;;
Norlights montessoriskole Stavanger AS;Stavanger;*;*;*;;
Rennesøy skule;Stavanger;51;49;51;;
Revheim skole;Stavanger;50;48;50;;
Smiodden skole;Stavanger;50;46;48;;
St. Svithun skole;Stavanger;51;49;49;;
Stavanger Kristne grunnskole;Stavanger;*;*;*;;
Steinerskolen Stavanger grunnskole;Stavanger;51;47;45;;
